Annotation	n	depth	station
GO:0017108	796	2	65
GO:0008795	788	2	65
GO:0033567	786	2	65
GO:0051607	672	2	65
GO:0008235	662	2	65
GO:0004345	631	2	65
GO:0031418	621	2	65
GO:0008446	592	2	65
GO:0019673	591	2	65
GO:0030288	590	2	65
GO:0030089	548	2	65
GO:0003910	516	2	65
GO:0016628	510	2	65
GO:0016832	494	2	65
GO:0008107	489	2	65
GO:0009307	482	2	65
GO:0019521	452	2	65
GO:0004616	449	2	65
GO:0009916	423	2	65
GO:0009007	422	2	65
GO:0007155	391	2	65
GO:0003682	385	2	65
GO:0019083	375	2	65
GO:0098024	363	2	65
GO:0009507	355	2	65
GO:0070475	332	2	65
GO:0008705	326	2	65
GO:0006072	322	2	65
GO:0070401	310	2	65
GO:0003886	300	2	65
GO:0008760	297	2	65
GO:0019509	292	2	65
GO:0008966	291	2	65
GO:0008495	289	2	65
GO:0009253	281	2	65
GO:0008184	271	2	65
GO:0003951	251	2	65
GO:0006306	246	2	65
GO:0102250	246	2	65
GO:0102499	246	2	65
GO:0045892	245	2	65
GO:0008239	243	2	65
GO:0004491	241	2	65
GO:0031119	241	2	65
GO:0006313	233	2	65
GO:0008833	226	2	65
GO:0016032	226	2	65
GO:0004803	220	2	65
GO:0016788	205	2	65
GO:0009411	200	2	65
GO:0046718	198	2	65
GO:0006935	197	2	65
GO:0008295	192	2	65
GO:0006529	190	2	65
GO:0007165	190	2	65
GO:0004066	189	2	65
GO:0004812	188	2	65
GO:0018193	174	2	65
GO:0003864	171	2	65
GO:0003979	167	2	65
GO:0019062	161	2	65
GO:0009103	154	2	65
GO:0016998	153	2	65
GO:0004014	150	2	65
GO:0031297	145	2	65
GO:0036310	145	2	65
GO:0003796	144	2	65
GO:0042732	143	2	65
GO:0008745	137	2	65
GO:0009536	137	2	65
GO:0006418	136	2	65
GO:0019829	134	2	65
GO:0019835	132	2	65
GO:0048040	132	2	65
GO:0016624	127	2	65
GO:0003934	126	2	65
GO:0035998	126	2	65
GO:0010242	124	2	65
GO:0030337	122	2	65
GO:0004040	121	2	65
GO:0004601	121	2	65
GO:0042742	120	2	65
GO:0035435	116	2	65
GO:0019594	115	2	65
GO:0042301	115	2	65
GO:0005874	114	2	65
GO:0070897	114	2	65
GO:0016636	112	2	65
GO:0010024	111	2	65
GO:0017025	111	2	65
GO:0046797	111	2	65
GO:0004484	104	2	65
GO:0004525	103	2	65
GO:0016075	103	2	65
GO:0006226	102	2	65
GO:0005436	98	2	65
GO:0015114	98	2	65
GO:0044341	98	2	65
GO:0009579	97	2	65
GO:0016051	97	2	65
GO:0000400	96	2	65
GO:0046782	95	2	65
GO:0009378	94	2	65
GO:0004641	92	2	65
GO:1901135	92	2	65
GO:0004170	90	2	65
GO:0042586	90	2	65
GO:0046081	90	2	65
GO:0004482	87	2	65
GO:0003920	86	2	65
GO:0042351	86	2	65
GO:0004888	85	2	65
GO:0016539	85	2	65
GO:0006397	83	2	65
GO:0050577	83	2	65
GO:0044780	82	2	65
GO:0008829	81	2	65
GO:0016702	81	2	65
GO:0008676	80	2	65
GO:1902560	78	2	65
GO:0015344	77	2	65
GO:0016763	77	2	65
GO:0038023	77	2	65
GO:0006229	75	2	65
GO:0003933	72	2	65
GO:0004523	72	2	65
GO:0006220	72	2	65
GO:0007018	71	2	65
GO:0006370	70	2	65
GO:0016682	69	2	65
GO:0004576	68	2	65
GO:0006163	66	2	65
GO:0009535	63	2	65
GO:0003774	60	2	65
GO:0009425	57	2	65
GO:0015299	56	2	65
GO:0071705	56	2	65
GO:0004673	53	2	65
GO:0008773	48	2	65
GO:0042834	48	2	65
GO:0006304	45	2	65
GO:0015627	45	2	65
GO:0006811	44	2	65
GO:0009424	44	2	65
GO:0015628	44	2	65
GO:0004300	43	2	65
GO:0042908	41	2	65
GO:0006808	40	2	65
GO:0008976	40	2	65
GO:0000156	38	2	65
GO:0006139	38	2	65
GO:0006799	38	2	65
GO:0009358	38	2	65
GO:0008854	36	2	65
GO:0004109	35	2	65
GO:0004352	35	2	65
GO:0009035	35	2	65
GO:0019551	35	2	65
GO:0008948	34	2	65
GO:0009898	34	2	65
GO:0042128	34	2	65
GO:0000027	33	2	65
GO:0003724	33	2	65
GO:0003993	32	2	65
GO:0008882	32	2	65
GO:0009102	32	2	65
GO:0055072	32	2	65
GO:0000270	31	2	65
GO:0042953	31	2	65
GO:0045226	31	2	65
GO:0008641	30	2	65
GO:0043138	29	2	65
GO:0008984	28	2	65
GO:0015288	28	2	65
GO:0004499	27	2	65
GO:0006779	27	2	65
GO:0009331	27	2	65
GO:0017000	27	2	65
GO:0006751	26	2	65
GO:0008859	26	2	65
GO:0008933	26	2	65
GO:0051920	26	2	65
GO:0015655	25	2	65
GO:0004190	24	2	65
GO:0071266	24	2	65
GO:0008253	23	2	65
GO:0008692	23	2	65
GO:0008964	23	2	65
GO:0042274	23	2	65
GO:0008757	22	2	65
GO:0070573	9	2	65
GO:0000103	7	2	65
GO:0008271	7	2	65
GO:0009288	7	2	65
GO:0016888	7	2	65
GO:0019679	7	2	65
GO:0019897	7	2	65
GO:0045900	7	2	65
GO:0070814	7	2	65
GO:0004521	6	2	65
GO:0004781	6	2	65
GO:0005829	6	2	65
GO:0006086	6	2	65
GO:0008152	6	2	65
GO:0008234	6	2	65
GO:0015095	6	2	65
GO:0070069	6	2	65
GO:0000820	5	2	65
GO:0003842	5	2	65
GO:0004070	5	2	65
GO:0004347	5	2	65
GO:0004514	5	2	65
GO:0004637	5	2	65
GO:0004713	5	2	65
GO:0004743	5	2	65
GO:0004866	5	2	65
GO:0005615	5	2	65
GO:0006203	5	2	65
GO:0008800	5	2	65
GO:0008832	5	2	65
GO:0015128	5	2	65
GO:0015159	5	2	65
GO:0016879	5	2	65
GO:0019104	5	2	65
GO:0044826	5	2	65
GO:0046373	5	2	65
GO:0046556	5	2	65
GO:0046656	5	2	65
GO:0047388	5	2	65
GO:0051205	5	2	65
GO:0075713	5	2	65
GO:0006571	4	2	65
GO:0006878	4	2	65
GO:0008199	4	2	65
GO:0008479	4	2	65
GO:0008685	4	2	65
GO:0008686	4	2	65
GO:0008714	4	2	65
GO:0008734	4	2	65
GO:0008761	4	2	65
GO:0009030	4	2	65
GO:0009117	4	2	65
GO:0009156	4	2	65
GO:0009431	4	2	65
GO:0015379	4	2	65
GO:0016639	4	2	65
GO:0016742	4	2	65
GO:0017150	4	2	65
GO:0030729	4	2	65
GO:0043231	4	2	65
GO:0102953	4	2	65
